ID,Name,Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
12190570,2021 Mercedes-Benz V 250 D Avantgarde MWB 447 MY21,117990,Mercedes-Benz,V,250 D Avantgarde MWB,447 MY21,2021,19,Wagon,Automatic,Diesel, New In Stock,2143,Black,7
12576018,2020 Toyota Landcruiser LC200 VX (4X4) VDJ200R,119985,Toyota,Landcruiser,LC200 VX (4X4),VDJ200R,2020,50943,Wagon,Automatic,Diesel, Used,4461,White,7
12597077,2021 Toyota Landcruiser 70 Series GXL VDJ79R,169990,Toyota,Landcruiser 70 Series,GXL,VDJ79R,2021,1008,Double Cab Chassis,Manual,Diesel, Used,4461,Blue,5
12637483,2010 Porsche Boxster Spyder 987 MY11,129900,Porsche,Boxster,Spyder,987 MY11,2010,66147,Roadster,Automatic,Premium Unleaded Petrol, Used,3436,Black,2
12688939,2020 Ram 1500 Warlock (black/Grey/HYD Blue) MY20,110990,Ram,1500,Warlock (black/Grey/HYD Blue),MY20,2020,39969,Crew Cab Utility,Automatic,Unleaded Petrol, Used,5654,Grey,5
12689144,2018 Toyota Landcruiser Sahara (4X4) VDJ200R MY16,122900,Toyota,Landcruiser,Sahara (4X4),VDJ200R MY16,2018,149000,Wagon,Automatic,Diesel, Used,4461,White,7
12689842,2018 Lexus LS500 Sports Luxury Vxfa50R,124999,Lexus,LS500,Sports Luxury,Vxfa50R,2018,13400,Sedan,Automatic,Premium Unleaded Petrol, Used,3444,Titanium,5
12689942,2021 Land Rover Range Rover Evoque P250 R-Dynamic SE (184KW) L551 MY21,98500,Land Rover,Range Rover Evoque,P250 R-Dynamic SE (184KW),L551 MY21,2021,11400,Wagon,Automatic,Premium Unleaded Petrol, Used,1997,White,5
12690069,2012 Jaguar XK 5.0 V8 X150 MY10,94800,Jaguar,XK,5.0 V8,X150 MY10,2012,34000,Coupe,Automatic,Premium Unleaded Petrol, Used,5000,Blue,4
12690111,2021 Jaguar F-Pace SVR (405KW) X761 MY21.25,171888,Jaguar,F-Pace,SVR (405KW),X761 MY21.25,2021,23210,Wagon,Automatic,Premium Unleaded Petrol, Used,5000,Black,5
12690565,2015 Toyota Landcruiser Sahara (4X4) VDJ200R MY13,94987,Toyota,Landcruiser,Sahara (4X4),VDJ200R MY13,2015,129780,Wagon,Automatic,Diesel, Used,4461,White,7
12690990,2019 Mercedes-Benz CLA45 S 4Matic+ C118 MY20.5,110900,Mercedes-Benz,CLA45,S 4Matic+,C118 MY20.5,2019,34582,Coupe,Automatic,Premium Unleaded Petrol, Used,1991,Grey,5
12691319,2016 Land Rover Range Rover Sport 5.0 V8 SC A/B Dynamic LW MY16.5,136000,Land Rover,Range Rover Sport,5.0 V8 SC A/B Dynamic,LW MY16.5,2016,76792,Wagon,Automatic,Premium Unleaded Petrol, Used,4999,White,5
12691352,2021 Toyota Landcruiser LC300 GXL (4X4) FJA300R,133901,Toyota,Landcruiser,LC300 GXL (4X4),FJA300R,2021,10100,Wagon,Automatic,Diesel, Used,3346,Silver,7
12691353,2018 Toyota Landcruiser GXL (4X4) VDJ79R,114888,Toyota,Landcruiser,GXL (4X4),VDJ79R,2018,69193,Double Cab Chassis,Manual,Diesel, Used,4461,Grey,5
12691371,2016 HSV Clubsport R8 LSA GEN F2,131888,HSV,Clubsport,R8 LSA,GEN F2,2016,6766,Sedan,Automatic,Premium Unleaded Petrol, Used,6200,Red,5
12691497,2021 Audi A6 55 Tfsi Quattro S Line Mhev 4A MY22,125509,Audi,A6,55 Tfsi Quattro S Line Mhev,4A MY22,2021,1752,Sedan,Automatic,Premium Unleaded/Electric, Used,2995,Black,5
12692223,2019 Ram 1500 Laramie (4X4) FD3.2 MY19,98990,Ram,1500,Laramie (4X4) FD3.2,MY19,2019,122346,Crew Cab Utility,Automatic,Unleaded Petrol, Used,5654,Grey,5
12692944,2021 Volvo XC90 B6 Inscription Mhev 256 MY22,113990,Volvo,XC90,B6 Inscription Mhev,256 MY22,2021,6070,Wagon,Automatic,Premium Unleaded/Electric, Demo,1969,Grey,7
12693017,2021 BMW M340I Xdrive G20,97990,BMW,M340I,Xdrive,G20,2021,7365,Sedan,Automatic,Premium Unleaded Petrol, Used,2998,White,5
12693099,2021 Audi A6 45 Tfsi Quattro S Line Mhev 4A MY22,104309,Audi,A6,45 Tfsi Quattro S Line Mhev,4A MY22,2021,6700,Sedan,Automatic,Premium Unleaded/Electric, Demo,1984,White,5
