ID,Name,Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
12808147,2021 Peugeot 508 GT R8 MY20,57500,Peugeot,508,GT,R8 MY20,2021,10059,Sportswagon,Automatic,Premium Unleaded Petrol, Used,1598,Grey,5
12831219,2011 Mercedes-Benz ML300 CDI Sports (4X4) 164 MY11,22990,Mercedes-Benz,ML300,CDI Sports (4X4),164 MY11,2011,179578,Wagon,Automatic,Diesel, Used,2987,White,5
12707830,2017 Hyundai Kona Highlander OS,27495,Hyundai,Kona,Highlander,OS,2017,46695,Wagon,Automatic,Unleaded Petrol, Used,1999,Red,5
12844997,2011 Audi A1 1.4 Tfsi Ambition 8X,14990,Audi,A1,1.4 Tfsi Ambition,8X,2011,100841,Hatchback,Manual,Premium Unleaded Petrol, Used,1390,Silver,4
12798575,2004 Holden Rodeo LX RA,7500,Holden,Rodeo,LX,RA,2004,193671,Cab Chassis,Manual,Unleaded Petrol, Used,3494,White,2
12776991,2006 Volkswagen Passat 2.0 TDI 3C,2000,Volkswagen,Passat,2.0 TDI,3C,2006,292451,Wagon,Automatic,Diesel, Used,1968,White,5
12699188,2017 Volkswagen Golf 92 TSI AU MY17,17990,Volkswagen,Golf,92 TSI,AU MY17,2017,127824,Hatchback,Manual,Premium Unleaded Petrol, Used,1395,Black,5
12688497,2018 Suzuki Vitara RT-S LY,26000,Suzuki,Vitara,RT-S,LY,2018,92000,Wagon,Automatic,Unleaded Petrol, Used,1586,White,5
12848051,2016 Ford Ranger Wildtrak 3.2 (4X4) PX Mkii MY17,47888,Ford,Ranger,Wildtrak 3.2 (4X4),PX Mkii MY17,2016,92945,Dual Cab Pick-up,Automatic,Diesel, Used,3198,Orange,5
12829304,2015 Ford Kuga Trend (awd) TF MK 2,13999,Ford,Kuga,Trend (awd),TF MK 2,2015,137890,Wagon,Automatic,Premium Unleaded Petrol, Used,1999,Black,5
12839962,2020 Hyundai Venue GO QX MY20,23000,Hyundai,Venue,GO,QX MY20,2020,41000,Wagon,Automatic,Unleaded Petrol, Used,1591,Silver,5
12805380,2017 Subaru Outback 2.0D Premium MY17,34400,Subaru,Outback,2.0D Premium,MY17,2017,81099,Wagon,Automatic,Diesel, Used,1998,White,5
